	First Name	Last Name	Date	Start Time	End Time	Pseudonym	FORMAT	TITLE	DATE(S)	Day
	Patti	Barnatt	7/26/13	2:00p	3:00p		Demo + Discourse	Patti Barnatt on ceramics	FRI 7/26/13, 2-3 pm	Friday
	Jed	Hancock-Brainerd	7/19/13	12:00p	2:00p	Strange Attractor	Office Hours	Jed Hancock-Brainerd, Rebecca Noon + Jeremy Radtke on theatrical space design 	FRI 7/19/13, 12-2 pm	Friday
	Jenna	Johns-Yu	7/20/13	2:00p	4:00p		Office Hours	Jenna Johns-Yu on bicycles	SAT 7/20/13, 2-4 pm	Saturday
	Marguerite	Keyes	7/31/13	12:00p			Assembled	Inside Voices curated by Jori Ketten	WED 7/31/13, 12PM	Wednesday 
	Christiane Marie	Landry	7/27/13	12:00p		lynx pearl hovercraft	Assembled	The Re-sounding City curated by Micah Salkind	SAT 7/27/13, 12 pm+H48	Saturday
	Jackson	Morley	7/28/13	12:00p		Micah Jackson	Assembled	The Re-sounding City curated by Micah Salkind	SUN 7/28/13, 12 pm	Sunday
	Beth	Nixon	7/18/13	5:00p	7:00p		Artist Lab	Beth Nixon: The Pangolin Within- Power Animals, Extinction and Symbiosis	THUR 7/18/13, 5-7 pm	Thursday
	Rebecca	Noon	7/19/13	12:00p	2:00p	Strange Attractor	Office Hours	Jed Hancock-Brainerd, Rebecca Noon + Jeremy Radtke on theatrical space design 	FRI 7/19/13, 12-2 pm	Friday
	Sianna 	Plavin	7/30/13	12:00p			Assembled 	Inside Voices curated by Jori Ketten	TUES 7/30/13, 12PM	Tuesday
	Jeremy	Radtke	7/19/13	12:00p	2:00p	Strange Attractor	Office Hours	Jed Hancock-Brainerd, Rebecca Noon + Jeremy Radtke on theatrical space design 	FRI 7/19/13, 12-2 pm	Friday
	Nick	Riemer	7/23/13	12:00p		Nick De Paris	Assembled	The Re-sounding City curated by Micah Salkind	TUES 7/23/13, 12 pm	Tuesday
	Erik	Ruin	7/28/13	2:00p	3:00p		Demo + Discourse	Erik Ruin on printmaking	SUN 7/28/13, 2-3 pm	Sunday
	Micah	Salkind	7/28/13	12:00p		Micah Jackson	Assembled	The Re-sounding City curated by Micah Salkind	SUN 7/28/13 , 12 pm	Sunday
	Justin	Sayles	7/25/13	12:00p		Dox	Assembled	The Re-sounding City curated by Micah Salkind	THUR 7/25/13, 12 pm	Thursday
	Meredith	Stern	7/21/13	12:00p	1:00p		Demo + Discourse	Meredith Stern on printmaking	SUN 7/21/13, 12-1 pm	Sunday
	Dan	Talbot 	7/21/13	2:00p 	4:00p		Office Hours	Dan Talbot on plein air painting	SUN 7/21/13, 2-4 pm	Sunday
	Michael	Weekes	7/26/13	12:00p		Mikedelick	Assembled	The Re-sounding City curated by Micah Salkind	FRI 7/26/13, 12 pm	Friday
	Dan	Wood	7/25/13	6:00p	7:00p		Demo + Discourse	Dan Wood on printmaking	THU 7/25/13, 6-7 pm	Thursday 
	Katrina		7/24/13	12:00p		DJ Milkbone	Assembled	The Re-sounding City curated by Micah Salkind	WED 7/24/13, 12 pm	Wednesday 
*	Amy	Walsh	8/1/13	6:00p	8:00p		Artist Lab	Amy Walsh: Listening to the Future	THUR 8/1/13, 6-8 pm	Thursday
1	Peter	Bussigel	8/1/13	12:00p			Assembled	Inside Voices curated by Jori Ketten	THUR 8/1/13, 12PM	Thursday
2	Sakiko	Mori	8/2/13	12:00p			Assembled 	Inside Voices curated by Jori Ketten	FRI 8/2/13, 12PM	Friday
3	Laura	Cetilia	8/2/13	12:00p			Assembled	Inside Voices curated by Jori Ketten	FRI 8/2/13, 12PM	Friday
4	James	Iannone	8/2/13	2:00p	3:00p		Demo + Discourse	James Iannone on mixed media	FRI 8/2/13, 2-3 pm	Friday
5	David	Penn	8/3/13	12:00p		Lists	Assembled	Inside Voices curated by Jori Ketten	SAT 8/3/13, 12PM	Saturday
6	Neil	Jackson	8/3/13	12:00p		Lists	Assembled	Inside Voices curated by Jori Ketten	SAT 8/3/13, 12PM	Saturday
6b	Lisa	Perez	8/3/13	2:00p	4:00p		Office Hours	Lisa Perez on Time Share: Create Space	SAT 8/3/13, 2-4 pm 	Saturday
*	Geoff	Mullen	8/4/13	12:00p			Assembled	Inside Voices curated by Jori Ketten	SUN 8/4/13, 12PM	Sunday
1	Philip	Sawyer	8/4/13	2:00p	4:00p		Office Hours	Philip Sawyer on bespoke apparel design and tailoring	SUN 8/4/13, 2:00-4:00 pm	Sunday
2	Joseph	Buzzell	8/6/13	12:00p			Assembled	Non-Fine Arts curated by Jacob Berendes	TUES 8/6/13, 12 pm	Tuesday
3	Carlos	Gonzales	8/7/13	12:00p		Russian Tsarlag	Assembled	Non-Fine Arts curated by Jacob Berendes	WED 8/7/13, 12pm	Wednesday 
4a	Jacob	Berendes	8/8/13	12:00p			Assembled	Non-Fine Arts curated by Jacob Berendes	THUR 8/8/13, 12pm	Thursday
4b	Matthew	Lawrence	8/8/13	6:00p	8:00p	Headmaster	Curator, Assembly	After School Special curated by Matthew Lawrence and Jason Tranchida	THUR 8/8/13, 6-8 pm	Thursday
5a	Jason	Tranchida	8/8/13	6:00p	8:00p	Headmaster	Curator, Assembly	After School Special curated by Matthew Lawrence and Jason Tranchida	THUR 8/8/13, 6-8 pm	Thursday
5b	Matt	Underwood	8/8/13	6:00p	8:00p			After School Special curated by Matthew Lawrence and Jason Tranchida	THUR 8/8/13, 6-8 pm	Thursday
6	Josh	Baptista	8/8/13	6:00p	8:00p			After School Special curated by Matthew Lawrence and Jason Tranchida	THUR 8/8/13, 6-8 pm	Thursday
*	Mary Paula	Hunter	8/8/13	6:00p	8:00p			After School Special curated by Matthew Lawrence and Jason Tranchida	THUR 8/8/13, 6-8 pm	Thursday
1	Michael	Dates	8/8/13	6:00p	8:00p	Gloria Gardenburger		After School Special curated by Matthew Lawrence and Jason Tranchida	THUR 8/8/13, 6-8 pm	Thursday
1	Joe	Segal	8/8/13	6:00p	8:00p			After School Special curated by Matthew Lawrence and Jason Tranchida	THUR 8/8/13, 6-8 pm	Thursday
5	Hannah	Abelow	8/8/13	6:00p	8:00p			After School Special curated by Matthew Lawrence and Jason Tranchida	THUR 8/8/13, 6-8 pm	Thursday
4	Genevieve	Cross	8/8/13	6:00p	8:00p			After School Special curated by Matthew Lawrence and Jason Tranchida	THUR 8/8/13, 6-8 pm	Thursday
5	Mickey	Zacchilli	8/9/13	12:00p			Assembled	Non-Fine Arts curated by Jacob Berendes	FRI 8/9/13, 12 pm	Friday
6	C.W.	Roelle	8/9/13	2:00p	4:00p		Office Hours $	C.W. Roelle on wire drawing	FRI 8/9/13, 2-4 pm	Friday
*	Katrina Silander	Clark	8/10/13	12:00p			Assembled	Non-Fine Arts curated by Jacob Berendes	SAT 8/10/13, 12 pm	Saturday
	Scott	Reber	8/11/13	12:00p		Work/Death	Assembled	Non-Fine Arts curated by Jacob Berendes	SUN 8/11/13, 12pm	Sunday
1	Serena	Putterman	8/13/13	12:00p			Assembled 	Choose Your Words: Poetry and Prose curated by Kate Schapira	TUES 8/13/13, 12PM	Tuesday
2	Tina	Cane	8/14/13	12:00p			Assembled 	Choose Your Words: Poetry and Prose curated by Kate Schapira	WED 8/14/13, 12PM	Wednesday 
3	Corey	Grayhorse	8/15/13	5:00p	7:00p		Artist Lab	Corey Grayhorse: Surreal Souvenir	THUR 8/15/13, 5-7 pm	Thursday
4	Kate	Colby	8/15/13	12:00p			Assembled 	Choose Your Words: Poetry and Prose curated by Kate Schapira	THUR 8/15/13, 12PM	Thursday 
5	Andrew	Colarusso	8/16/13	12:00p			Assembled 	Choose Your Words: Poetry and Prose curated by Kate Schapira	FRI 8/16/13, 12PM	Friday 
6	Jill	Colinan	8/16/13	2:00p	4:00p		Office Hours	Jill Colinan on mixed media sculpture	FRI 8/16/13, 2-4 pm	Friday
7	Joanna	Howard	8/17/13	12:00p		Joanna/Joanna	Assembled	Choose Your Words: Poetry and Prose curated by Kate Schapira	SAT 8/17/13, 12PM	Saturday
