	Last Name	First Name	Pseudonym	FORMAT	TITLE	DATE(S)	Date	Day	Start Time	End Time	Location
	Uretsky	J.R.		Spotlight		THUR 7/18, 6:30-7:15 pm ; SAT 7/27, 2-3 pm					Lower Farago Gallery
	Armstrong	Maralie	Humanbeast	Spotlight		THUR 7/15, 4-8 pm; SAT 7/17, 3-4 pm					Lower Farago Gallery
	Milhollan	Eli	Humanbeast	Spotlight							Lower Farago Gallery
	Choi	Franny		Spotlight		THUR 9/19, 6:30-8 pm; SAT 9/21, 2-3 pm					Lower Farago Gallery
	Brown-Lavoie	Laura		Spotlight with Franny							Lower Farago Gallery
	Tran	Paul		Spotlight with Franny							Lower Farago Gallery
	Glantz	Peter		Spotlight		THUR 10/17, 7-8 pm; SAT 10/19, 2-3 pm					Lower Farago Gallery
											
	Nixon	Beth		Artist Lab	Beth Nixon: The Pangolin Within- Power Animals, Extinction and Symbiosis	THUR 7/18/13, 5-7 pm	7/18/13	Thursday	5:00p	7:00p	Fain Gallery
	Walsh	Amy		Artist Lab	Amy Walsh: Listening to the Future	THUR 8/1/13, 6-8 pm	8/1/13	Thursday	6:00p	8:00p	Lower Farago Gallery
	Grayhorse	Corey		Artist Lab	Corey Grayhorse: Surreal Souvenir	THUR 8/15/13, 5-7 pm	8/15/13	Thursday	5:00p	7:00p	Fain Gallery
	Brandt	Muffy		Artist Lab	Muffy Brandt: Yes, &	THUR 8/29/13, 6-8 pm	8/29/13	Thursday	6:00p	8:00p	Lower Farago Gallery
	DelSignore	Dennis		Artist Lab	Dennis DelSignore: {Fill in Title}	THUR 9/19/13, 5-7 pm	9/19/13	Thursday	5:00p	7:00p	Fain Gallery
	Bright	Emmy		Artist Lab	Emmy Bright: 1 + 1 = 3  Romantic Logic	THUR 10/3/13, 6-8 pm	10/3/13	Thursday	6:00p	8:00p	Lower Farago Gallery
	Cali	Caitlin		Artist Lab	Caitlin Cali: Stupid Pointless Shame	THUR 10/17/13, 5-7 pm	10/17/13	Thursday	5:00P	7:00P	Lower Farago Gallery
	Brown	Jessica 		Artist Lab	Jessica Brown: Let's Just Make That!	SAT 10/26/13, 2-4 pm	10/26/13	Saturday 	2:00p	4:00p	Lower Farago Gallery
	Mettling	Walker		Artist Lab	Walker Mettling: Come Build a Scary Carcass	THU 10/31/13 12-5pm	10/31/13	Thursday	12:00p	5:00p	Lower Farago Gallery
	Bressner	Jenine		Artist Lab	Jenine Bressner: YOUR VOICE SHOULD BE SEEN	SUN 11/3/13, 2-4 pm	11/3/13	Sunday	2:00p	4:00p	Lower Farago Gallery
											
*	Salkind	Micah		Curator, Assembly	The Re-sounding City curated by Micah Salkind	wk of July 23rd 					Lower Farago Gallery
1	Riemer	Nick	Nick De Paris	Assembled	The Re-sounding City curated by Micah Salkind	TUES 7/23/13, 12 pm	7/23/13	Tuesday	12:00p		Lower Farago Gallery
2		Katrina	DJ Milkbone	Assembled	The Re-sounding City curated by Micah Salkind	WED 7/24/13, 12 pm	7/24/13	Wednesday 	12:00p		Lower Farago Gallery
3	Sayles	Justin	Dox	Assembled	The Re-sounding City curated by Micah Salkind	THUR 7/25/13, 12 pm	7/25/13	Thursday	12:00p		Lower Farago Gallery
4	Weekes	Michael	Mikedelick	Assembled	The Re-sounding City curated by Micah Salkind	FRI 7/26/13, 12 pm	7/26/13	Friday	12:00p		Lower Farago Gallery
5	Landry	Christiane Marie	lynx pearl hovercraft	Assembled	The Re-sounding City curated by Micah Salkind	SAT 7/27/13, 12 pm+H48	7/27/13	Saturday	12:00p		Lower Farago Gallery
6	Salkind	Micah	Micah Jackson	Assembled	The Re-sounding City curated by Micah Salkind	SUN 7/28/13 , 12 pm	7/28/13	Sunday	12:00p		Lower Farago Gallery
6b	Morley	Jackson	Micah Jackson	Assembled	The Re-sounding City curated by Micah Salkind	SUN 7/28/13, 12 pm	7/28/13	Sunday	12:00p		Lower Farago Gallery
*	Ketten	Jori		Curator, Assembly	Inside Voices curated by Jori Ketten	Wk of July 30th					Lower Farago Gallery
1	Plavin	Sianna 		Assembled 	Inside Voices curated by Jori Ketten	TUES 7/30/13, 12PM	7/30/13	Tuesday	12:00p		Lower Farago Gallery
2	Keyes	Marguerite		Assembled	Inside Voices curated by Jori Ketten	WED 7/31/13, 12PM	7/31/13	Wednesday 	12:00p		Lower Farago Gallery
3	Bussigel	Peter		Assembled	Inside Voices curated by Jori Ketten	THUR 8/1/13, 12PM	8/1/13	Thursday	12:00p		Lower Farago Gallery
4a	Mori	Sakiko		Assembled 	Inside Voices curated by Jori Ketten	FRI 8/2/13, 12PM	8/2/13	Friday	12:00p		Lower Farago Gallery
4b	Cetilia	Laura		Assembled	Inside Voices curated by Jori Ketten	FRI 8/2/13, 12PM	8/2/13	Friday	12:00p		Lower Farago Gallery
5a	Penn	David	Lists	Assembled	Inside Voices curated by Jori Ketten	SAT 8/3/13, 12PM	8/3/13	Saturday	12:00p		Lower Farago Gallery
5b	Jackson	Neil	Lists	Assembled	Inside Voices curated by Jori Ketten	SAT 8/3/13, 12PM	8/3/13	Saturday	12:00p		Lower Farago Gallery
6	Mullen	Geoff		Assembled	Inside Voices curated by Jori Ketten	SUN 8/4/13, 12PM	8/4/13	Sunday	12:00p		Lower Farago Gallery
*	Berendes	Jacob		Curator, Assembly	Non-Fine Arts curated by Jacob Berendes	wk of Aug 5					Lower Farago Gallery
1	Buzzell	Joseph		Assembled	Non-Fine Arts curated by Jacob Berendes	TUES 8/6/13, 12 pm	8/6/13	Tuesday	12:00p		Lower Farago Gallery
1	Gonzales	Carlos	Russian Tsarlag	Assembled	Non-Fine Arts curated by Jacob Berendes	WED 8/7/13, 12pm	8/7/13	Wednesday 	12:00p		Lower Farago Gallery
5	Berendes	Jacob		Assembled	Non-Fine Arts curated by Jacob Berendes	THUR 8/8/13, 12pm	8/8/13	Thursday	12:00p		Lower Farago Gallery
4	Zacchilli	Mickey		Assembled	Non-Fine Arts curated by Jacob Berendes	FRI 8/9/13, 12 pm	8/9/13	Friday	12:00p		Lower Farago Gallery
5	Clark	Katrina Silander		Assembled	Non-Fine Arts curated by Jacob Berendes	SAT 8/10/13, 12 pm	8/10/13	Saturday	12:00p		Lower Farago Gallery
6	Reber	Scott	Work/Death	Assembled	Non-Fine Arts curated by Jacob Berendes	SUN 8/11/13, 12pm	8/11/13	Sunday	12:00p		Lower Farago Gallery
*	Lawrence	Matthew	Headmaster	Curator, Assembly	After School Special curated by Matthew Lawrence and Jason Tranchida	THUR 8/8/13, 6-8 pm	8/8/13	Thursday	6:00p	8:00p	Lower Farago Gallery
	Tranchida	Jason	Headmaster	Curator, Assembly	After School Special curated by Matthew Lawrence and Jason Tranchida	THUR 8/8/13, 6-8 pm	8/8/13	Thursday	6:00p	8:00p	Lower Farago Gallery
1	Underwood	Matt		Assembled	After School Special curated by Matthew Lawrence and Jason Tranchida	THUR 8/8/13, 6-8 pm	8/8/13	Thursday	6:00p	8:00p	Lower Farago Gallery
2	Baptista	Josh		Assembled	After School Special curated by Matthew Lawrence and Jason Tranchida	THUR 8/8/13, 6-8 pm	8/8/13	Thursday	6:00p	8:00p	Lower Farago Gallery
3	Hunter	Mary Paula		Assembled	After School Special curated by Matthew Lawrence and Jason Tranchida	THUR 8/8/13, 6-8 pm	8/8/13	Thursday	6:00p	8:00p	Lower Farago Gallery
4	Dates	Michael	Gloria Gardenburger	Assembled	After School Special curated by Matthew Lawrence and Jason Tranchida	THUR 8/8/13, 6-8 pm	8/8/13	Thursday	6:00p	8:00p	Lower Farago Gallery
5	Segal	Joe		Assembled	After School Special curated by Matthew Lawrence and Jason Tranchida	THUR 8/8/13, 6-8 pm	8/8/13	Thursday	6:00p	8:00p	Lower Farago Gallery
6	Abelow	Hannah		Assembled	After School Special curated by Matthew Lawrence and Jason Tranchida	THUR 8/8/13, 6-8 pm	8/8/13	Thursday	6:00p	8:00p	Lower Farago Gallery
7	Cross	Genevieve		Assembled	After School Special curated by Matthew Lawrence and Jason Tranchida	THUR 8/8/13, 6-8 pm	8/8/13	Thursday	6:00p	8:00p	Lower Farago Gallery
*	Schapira	Kate		Curator, Assembly	Choose Your Words: Poetry and Prose curated by Kate Schapira	Wk Aug 13					Lower Farago Gallery
1	Putterman	Serena		Assembled 	Choose Your Words: Poetry and Prose curated by Kate Schapira	TUES 8/13/13, 12PM	8/13/13	Tuesday	12:00p		Lower Farago Gallery
2	Cane	Tina		Assembled 	Choose Your Words: Poetry and Prose curated by Kate Schapira	WED 8/14/13, 12PM	8/14/13	Wednesday 	12:00p		Lower Farago Gallery
3	Colby	Kate		Assembled 	Choose Your Words: Poetry and Prose curated by Kate Schapira	THUR 8/15/13, 12PM	8/15/13	Thursday 	12:00p		Lower Farago Gallery
4	Colarusso	Andrew		Assembled 	Choose Your Words: Poetry and Prose curated by Kate Schapira	FRI 8/16/13, 12PM	8/16/13	Friday 	12:00p		Lower Farago Gallery
5a	Howard	Joanna	Joanna/Joanna	Assembled	Choose Your Words: Poetry and Prose curated by Kate Schapira	SAT 8/17/13, 12PM	8/17/13	Saturday	12:00p		Lower Farago Gallery
5b	Ruocco	Joanna	Joanna/Joanna	Assembled 	Choose Your Words: Poetry and Prose curated by Kate Schapira	SAT 8/17/13, 12PM	8/17/13	Saturday 	12:00p		Lower Farago Gallery
6	Vogel	Danielle		Assembled 	Choose Your Words: Poetry and Prose curated by Kate Schapira	SUN 8/18/13, 12PM 	8/18/13	Sunday	12:00p		Lower Farago Gallery
*	Burkin	Liza		Curator, Assembly	Palate: Taste by Design curated by Liza Burkin	wk of Aug 20					Lower Farago Gallery
1	Dowell	Jennifer		Assembled 	Palate: Taste by Design curated by Liza Burkin	TUES 8/20/13 , 12 pm	8/20/13	Tuesday	12:00pm		Lower Farago Gallery
2	McCoy	Amy		Assembled 	Palate: Taste by Design curated by Liza Burkin	WED 8/21/13, 12 pm	8/21/13	Wednesday 	12:00p		Lower Farago Gallery
3	Stroffolino	Corey		Assembled 	Palate: Taste by Design curated by Liza Burkin	THUR 8/22/13, 12 pm	8/22/13	Thursday	12:00p		Lower Farago Gallery
4	Carter	Jay		Assembled 	Palate: Taste by Design curated by Liza Burkin	FRI 8/23/13, 12 pm	8/23/13	Friday	12:00p		Lower Farago Gallery
4b	Ferreira	Jen		Assembled	Palate: Taste by Design curated by Liza Burkin	FRI 8/23/13, 12 pm	8/23/13	Friday	12:00p		Lower Farago Gallery
5	Pelton	Jen		Assembled 	Palate: Taste by Design curated by Liza Burkin	SAT 8/24/13, 12 pm	8/24/13	Saturday	12:00p		Lower Farago Gallery
6	Sheehan	Dan		Assembled	Palate: Taste by Design curated by Liza Burkin	SUN 8/25/13, 12 pm	8/25/13	Sunday	12:00p		Lower Farago Gallery
*	VanNostrand	Willa		Curator, Assembly	Performance curated by Willa Van Nostrand	Wk of Aug 26					Lower Farago Gallery
1	Kelley	Bevin	Bevin Blectum	Assembled	Performance curated by Willa Van Nostrand	TUES 8/27/13, 12-1 pm	8/27/13	Tuesday	12:00p	1:00p	Lower Farago Gallery
2	Gravely	Brittany		Assembled	Performance curated by Willa Van Nostrand	WED 8/28, 12-1 pm	8/28/13	Wednesday 	12:00p	1:00p	Lower Farago Gallery
2b	Linehan	Ken		Assembled	Performance curated by Willa Van Nostrand	WED 8/28, 12-1 pm	8/28/13	Wednesday 	12:00p	1:00p	Lower Farago Gallery
3	Morosky	Adam 	Timeghost	Assembled	Performance curated by Willa Van Nostrand	THURS 8/29, 12-4:30 pm	8/29/13	Thursday 	12:00p	4:30p	Lower Farago Gallery
4	Denning	Allie	SHV	Assembled	Performance curated by Willa Van Nostrand	FRI 8/30, 12-1 pm	8/30/13	Friday	12:00p	1:00p	Lower Farago Gallery
5	VanNostrand	Glenna	Omnivore 	Assembled 	Performance curated by Willa Van Nostrand	SAT 8/31, 12-12:45 pm	8/31/13	Saturday 	12:00p	12:45p	Lower Farago Gallery
5b	VanNostrand	Willa		Assembled 	Performance curated by Willa Van Nostrand	SAT 8/31, 12-12:45 pm	8/31/13	Saturday	12:00p	12:45p	Lower Farago Gallery
6	Wolpert	Chrissy	Assembly of Light Choir	Assembled	Performance curated by Willa Van Nostrand	SUN 9/1, 12-1 pm	9/1/13	Sunday 	12:00p	1:00p 	Lower Farago Gallery
*	Sullivan	Meg		Curator, Assembly	Story-lines, solo performances curated by Meg Sullivan	wk of Sep 3					Lower Farago Gallery
1	Turner	Stephanie		Assembled 	Story-lines, solo performances curated by Meg Sullivan	TUES 9/3/13, 12PM	9/3/13	Tuesday 	12:00p		Lower Farago Gallery
2	Seigh	Kelly		Assembled	Story-lines, solo performances curated by Meg Sullivan	WED 9/4/13,  12PM	9/4/13	Wednesday 	12:00p		Lower Farago Gallery
3	Sullivan	Meg		Assembled 	Story-lines, solo performances curated by Meg Sullivan	THUR 9/5/13, 12PM	9/5/13	Thursday 	12:00p		Lower Farago Gallery
4	Pearl	Katie		Assembled 	Story-lines, solo performances curated by Meg Sullivan	FRI 9/6/13, 12PM	9/6/13	Friday	12:00p		Lower Farago Gallery
5	Maynard	Nicole		Assembled 	Story-lines, solo performances curated by Meg Sullivan	SAT 9/7/13, 12PM	9/7/13	Saturday 	12:00p		Lower Farago Gallery
6	Ruffin Ward	Melody		Assembled	Story-lines, solo performances curated by Meg Sullivan	Sun 9/8/13, 12PM	9/8/13	Sunday	12:00p		Lower Farago Gallery
	Withers	Melissa		Curator, Assembly	Entrepreneur Artist, Artist Entrepreneur: Building Beyond Business, Dreaming Beyond Art curated by Melissa Withers and Allan Tear	wk of Sept 10					Lower Farago Gallery
	Tear	Allan		Curator, Assembly	Entrepreneur Artist, Artist Entrepreneur: Building Beyond Business, Dreaming Beyond Art curated by Melissa Withers and Allan Tear						Lower Farago Gallery
1	Horowitz	Aaron		Assembled	Entrepreneur Artist, Artist Entrepreneur: Building Beyond Business, Dreaming Beyond Art curated by Melissa Withers and Allan Tear	TUES 9/10/13, 12PM	9/10/13	Tuesday	12:00p		Lower Farago Gallery
2	Harris	Scott		Assembled	Entrepreneur Artist, Artist Entrepreneur: Building Beyond Business, Dreaming Beyond Art curated by Melissa Withers and Allan Tear	WED 9/11/13, 12PM	9/11/13	Wednesday 	12:00p		Lower Farago Gallery
3	Nguyen	Don		Assembled	Entrepreneur Artist, Artist Entrepreneur: Building Beyond Business, Dreaming Beyond Art curated by Melissa Withers and Allan Tear	THUR 9/12/13, 12PM	9/12/13	Thursday 	12:00p		Lower Farago Gallery
4	Losey 	Wayne		Assembled	Entrepreneur Artist, Artist Entrepreneur: Building Beyond Business, Dreaming Beyond Art curated by Melissa Withers and Allan Tear	FRI 9/13/13, 12PM	9/13/13	Friday	12:00p		Lower Farago Gallery
5	D'Ambrosio	Otto		Assembled	Entrepreneur Artist, Artist Entrepreneur: Building Beyond Business, Dreaming Beyond Art curated by Melissa Withers and Allan Tear	SAT 9/14/13, 12PM	9/14/13	Saturday 	12:00p		Lower Farago Gallery
6	Keen	Martin		Assembled	Entrepreneur Artist, Artist Entrepreneur: Building Beyond Business, Dreaming Beyond Art curated by Melissa Withers and Allan Tear	SUN 9/15/13, 12PM	9/15/13	Sunday 	12:00p		Lower Farago Gallery
